Font Points,Units
1,0.18
2,0.35
3,0.53
4,0.71
5,0.88
6,1.06
7,1.23
8,1.41
9,1.59
10,1.76
11,1.94
12,2.12
13,2.29
14,2.47
15,2.65
16,2.82
17,3.00
18,3.18
19,3.35
20,3.53
21,3.70
22,3.88
23,4.06
24,4.23
25,4.41
26,4.59
27,4.76
28,4.94
29,5.12
30,5.29
31,5.47
32,5.64
33,5.82
34,6.00
35,6.17
36,6.35
37,6.53
38,6.70
39,6.88
40,7.06
41,7.23
42,7.41
43,7.58
44,7.76
45,7.94
46,8.11
47,8.29
48,8.47
49,8.64
50,8.82
51,9.00
52,9.17
53,9.35
54,9.53
55,9.70
56,9.88
57,10.05
58,10.23
59,10.41
60,10.58
61,10.76
62,10.94
63,11.11
64,11.29
65,11.47
66,11.64
67,11.82
68,11.99
69,12.17
70,12.35
71,12.52
72,12.70
73,12.88
74,13.05
75,13.23
76,13.41
77,13.58
78,13.76
79,13.93
80,14.11
81,14.29
82,14.46
83,14.64
84,14.82
85,14.99
86,15.17
87,15.35
88,15.52
89,15.70
90,15.88
91,16.05
92,16.23
93,16.40
94,16.58
95,16.76
96,16.93
97,17.11
98,17.29
99,17.46
