id,code,title
1,2000,Darling Harbour
2,2000,Dawes Point
3,2000,Haymarket
4,2000,Millers Point
5,2000,Parliament House
6,2000,Queen Victoria Building
7,2000,Sydney
8,2000,Sydney South
9,2000,The Rocks
10,2006,The University Of Sydney
11,2007,Broadway
12,2007,Ultimo
13,2008,Chippendale
14,2008,Darlington
15,2008,Golden Grove
16,2009,Darling Island
17,2009,Pyrmont
18,2010,Darlinghurst
19,2010,Surry Hills
20,2010,Taylor Square
21,2011,Elizabeth Bay
22,2011,Hmas Kuttabul
23,2011,Kings Cross
24,2011,Potts Point
25,2011,Rushcutters Bay
26,2011,Woolloomooloo
27,2013,Strawberry Hills
28,2015,Alexandria
29,2015,Beaconsfield
30,2015,Eveleigh
31,2016,Redfern
32,2017,Waterloo
33,2017,Zetland
34,2018,Eastlakes
35,2018,Rosebery
36,2019,Banksmeadow
37,2019,Botany
38,2020,Mascot
39,2021,Centennial Park
40,2021,Moore Park
41,2021,Paddington
42,2022,Bondi Junction
43,2022,Bondi Junction Plaza
44,2022,Queens Park
45,2023,Bellevue Hill
46,2024,Bronte
47,2024,Charing Cross
48,2024,Waverley
49,2025,Woollahra
50,2026,Ben Buckler
51,2026,Bondi
52,2026,Bondi Beach
53,2026,North Bondi
54,2026,Tamarama
55,2027,Darling Point
56,2027,Edgecliff
57,2027,Hmas Rushcutters
58,2027,Point Piper
59,2028,Double Bay
60,2029,Rose Bay
61,2030,Diamond Bay
62,2030,Dover Heights
63,2030,Hmas Watson
64,2030,Rose Bay North
65,2030,Vaucluse
66,2030,Watsons Bay
67,2031,Clovelly
68,2031,Clovelly West
69,2031,Randwick
70,2031,St Pauls
71,2032,Daceyville
72,2032,Kingsford
73,2033,Kensington
74,2034,Coogee
75,2034,South Coogee
76,2035,Maroubra
77,2035,Maroubra South
78,2035,Pagewood
79,2036,Chifley
80,2036,Eastgardens
81,2036,Hillsdale
82,2036,La Perouse
83,2036,Little Bay
84,2036,Malabar
85,2036,Matraville
86,2036,Phillip Bay
87,2036,Port Botany
88,2037,Forest Lodge
89,2037,Glebe
90,2038,Annandale
91,2039,Rozelle
92,2040,Leichhardt
93,2040,Lilyfield
94,2041,Balmain
95,2041,Balmain East
96,2041,Birchgrove
97,2042,Enmore
98,2042,Newtown
99,2043,Erskineville
100,2044,St Peters
101,2044,Sydenham
102,2044,Tempe
103,2045,Haberfield
104,2046,Abbotsford
105,2046,Canada Bay
106,2046,Chiswick
107,2046,Five Dock
108,2046,Rodd Point
109,2046,Russell Lea
110,2046,Wareemba
111,2047,Drummoyne
112,2048,Stanmore
113,2048,Westgate
114,2049,Lewisham
115,2049,Petersham
116,2049,Petersham North
117,2050,Camperdown
118,2050,Missenden Road
119,2060,Hmas Platypus
120,2060,Hmas Waterhen
121,2060,Lavender Bay
122,2060,Mcmahons Point
123,2060,North Sydney
124,2060,Waverton
125,2061,Kirribilli
126,2061,Milsons Point
127,2062,Cammeray
128,2063,Northbridge
129,2064,Artarmon
130,2065,Crows Nest
131,2065,Gore Hill
132,2065,Greenwich
133,2065,Naremburn
134,2065,St Leonards
135,2065,Wollstonecraft
136,2066,Lane Cove
137,2066,Lane Cove North
138,2066,Lane Cove West
139,2066,Linley Point
140,2066,Longueville
141,2066,Northwood
142,2066,Osborne Park
143,2066,Riverview
144,2067,Chatswood
145,2067,Chatswood West
146,2068,Castlecrag
147,2068,Middle Cove
148,2068,Willoughby
149,2068,Willoughby North
150,2069,Castle Cove
151,2069,Roseville
152,2069,Roseville Chase
153,2070,East Lindfield
154,2070,Lindfield
155,2070,Lindfield West
156,2071,Killara
157,2072,Gordon
158,2073,Pymble
159,2073,West Pymble
160,2074,Bobbin Head
161,2074,North Turramurra
162,2074,South Turramurra
163,2074,Turramurra
164,2074,Warrawee
165,2075,North St Ives
166,2075,St Ives
167,2075,St Ives Chase
168,2076,Normanhurst
169,2076,Wahroonga
170,2077,Asquith
171,2077,Hornsby
172,2077,Hornsby Heights
173,2077,Waitara
174,2079,Mount Colah
175,2080,Mount Kuring-Gai
176,2081,Berowra
177,2081,Cowan
178,2082,Berowra Heights
179,2082,Berowra Waters
180,2083,Bar Point
181,2083,Brooklyn
182,2083,Cogra Bay
183,2083,Dangar Island
184,2083,Milsons Passage
185,2083,Mooney Mooney
186,2084,Akuna Bay
187,2084,Cottage Point
188,2084,Duffys Forest
189,2084,Terrey Hills
190,2085,Belrose
191,2085,Belrose West
192,2085,Davidson
193,2086,Frenchs Forest
194,2086,Frenchs Forest East
195,2087,Forestville
196,2087,Killarney Heights
197,2088,Mosman
198,2088,Spit Junction
199,2089,Neutral Bay
200,2089,Neutral Bay Junction
201,2090,Cremorne
202,2090,Cremorne Junction
203,2090,Cremorne Point
204,2092,Seaforth
205,2093,Balgowlah
206,2093,Balgowlah Heights
207,2093,Clontarf
208,2093,Manly Vale
209,2093,North Balgowlah
210,2094,Fairlight
211,2095,Manly
212,2095,Manly East
213,2096,Curl Curl
214,2096,Harbord
215,2096,Queenscliff
216,2097,Collaroy
217,2097,Collaroy Beach
218,2097,Collaroy Plateau
219,2097,Collaroy Plateau West
220,2097,Long Reef
221,2097,Wheeler Heights
222,2099,Cromer
223,2099,Cromer Heights
224,2099,Dee Why
225,2099,Dee Why Beach
226,2099,Narraweena
227,2099,North Curl Curl
228,2099,Wingala
229,2100,Allambie
230,2100,Allambie Heights
231,2100,Beacon Hill
232,2100,Brookvale
233,2100,North Manly
234,2100,Oxford Falls
235,2100,Warringah Mall
236,2101,Elanora Heights
237,2101,Ingleside
238,2101,Narrabeen
239,2101,Narrabeen Peninsula
240,2101,North Narrabeen
241,2102,Warriewood
242,2103,Mona Vale
243,2104,Bayview
244,2105,Church Point
245,2105,Elvina Bay
246,2105,Lovett Bay
247,2105,Scotland Island
248,2106,Newport
249,2106,Newport Beach
250,2107,Avalon
251,2107,Avalon Beach
252,2107,Bilgola
253,2107,Careel Bay
254,2107,Clareville
255,2107,Paradise Beach
256,2107,Taylors Point
257,2107,Whale Beach
258,2108,Coasters Retreat
259,2108,Currawong Beach
260,2108,Great Mackerel Beach
261,2108,Morning Bay
262,2108,Palm Beach
263,2108,The Basin
264,2109,Macquarie University
265,2110,Hunters Hill
266,2110,Hunters Hill West
267,2110,Woolwich
268,2111,Boronia Park
269,2111,Gladesville
270,2111,Henley
271,2111,Huntleys Cove
272,2111,Huntleys Point
273,2111,Monash Park
274,2111,Tennyson Point
275,2112,Denistone East
276,2112,Putney
277,2112,Ryde
278,2113,Blenheim Road
279,2113,East Ryde
280,2113,Macquarie Centre
281,2113,Macquarie Park
282,2113,North Ryde
283,2114,Denistone
284,2114,Denistone West
285,2114,Meadowbank
286,2114,Melrose Park
287,2114,West Ryde
288,2115,Ermington
289,2116,Rydalmere
290,2117,Dundas
291,2117,Dundas Valley
292,2117,Oatlands
293,2117,Telopea
294,2118,Carlingford
295,2118,Carlingford Court
296,2118,Carlingford North
297,2118,Kingsdene
298,2119,Beecroft
299,2119,Cheltenham
300,2120,Pennant Hills
301,2120,Thornleigh
302,2120,Westleigh
303,2121,Epping
304,2121,North Epping
305,2122,Eastwood
306,2122,Marsfield
307,2125,West Pennant Hills
308,2126,Cherrybrook
309,2127,Homebush Bay
310,2128,Silverwater
311,2130,Summer Hill
312,2131,Ashfield
313,2132,Croydon
314,2133,Croydon Park
315,2133,Enfield South
316,2134,Burwood
317,2134,Burwood North
318,2135,Strathfield
319,2136,Burwood Heights
320,2136,Enfield
321,2136,Strathfield South
322,2137,Breakfast Point
323,2137,Cabarita
324,2137,Concord
325,2137,Mortlake
326,2137,North Strathfield
327,2138,Concord West
328,2138,Liberty Grove
329,2138,Rhodes
330,2140,Homebush
331,2140,Homebush South
332,2140,Homebush West
333,2141,Berala
334,2141,Lidcombe
335,2141,Lidcombe North
336,2141,Rookwood
337,2142,Blaxcell
338,2142,Camellia
339,2142,Granville
340,2142,Holroyd
341,2142,Rosehill
342,2143,Birrong
343,2143,Potts Hill
344,2143,Regents Park
345,2144,Auburn
346,2144,Auburn South
347,2145,Girraween
348,2145,Greystanes
349,2145,Mays Hill
350,2145,Pemulwuy
351,2145,Pendle Hill
352,2145,South Wentworthville
353,2145,Wentworthville
354,2145,Westmead
355,2146,Old Toongabbie
356,2146,Toongabbie
357,2146,Toongabbie East
358,2147,Kings Langley
359,2147,Lalor Park
360,2147,Seven Hills
361,2147,Seven Hills West
362,2148,Arndell Park
363,2148,Blacktown
364,2148,Blacktown Westpoint
365,2148,Huntingwood
366,2148,Kings Park
367,2148,Marayong
368,2148,Prospect
369,2150,Harris Park
370,2150,Parramatta
371,2150,Parramatta Westfield
372,2151,North Parramatta
373,2151,North Rocks
374,2152,Northmead
375,2153,Baulkham Hills
376,2153,Bella Vista
377,2153,Crestwood
378,2153,Winston Hills
379,2154,Castle Hill
380,2155,Beaumont Hills
381,2155,Kellyville
382,2155,Kellyville Ridge
383,2155,Rouse Hill
384,2156,Annangrove
385,2156,Glenhaven
386,2156,Kenthurst
387,2157,Canoelands
388,2157,Forest Glen
389,2157,Glenorie
390,2157,Hillside
391,2158,Dural
392,2158,Middle Dural
393,2158,Round Corner
394,2159,Arcadia
395,2159,Berrilee
396,2159,Fiddletown
397,2159,Galston
398,2160,Merrylands
399,2160,Merrylands West
400,2161,Guildford
401,2161,Guildford West
402,2161,Old Guildford
403,2161,Yennora
404,2162,Chester Hill
405,2162,Sefton
406,2163,Carramar
407,2163,Lansdowne
408,2163,Villawood
409,2164,Horsley Park
410,2164,Smithfield
411,2164,Smithfield West
412,2164,Wetherill Park
413,2164,Woodpark
414,2165,Fairfield
415,2165,Fairfield East
416,2165,Fairfield Heights
417,2165,Fairfield West
418,2166,Cabramatta
419,2166,Cabramatta West
420,2166,Canley Heights
421,2166,Canley Vale
422,2166,Lansvale
423,2167,Glenfield
424,2168,Ashcroft
425,2168,Busby
426,2168,Cartwright
427,2168,Green Valley
428,2168,Heckenberg
429,2168,Hinchinbrook
430,2168,Miller
431,2168,Sadleir
432,2170,Casula
433,2170,Casula Mall
434,2170,Chipping Norton
435,2170,Hammondville
436,2170,Liverpool
437,2170,Liverpool South
438,2170,Liverpool Westfield
439,2170,Lurnea
440,2170,Moorebank
441,2170,Mount Pritchard
442,2170,Prestons
443,2170,Warwick Farm
444,2171,Badgerys Creek
445,2171,Cecil Hills
446,2171,Cecil Park
447,2171,Horningsea Park
448,2171,Hoxton Park
449,2171,Kemps Creek
450,2171,Leppington
451,2171,Pleasure Point
452,2171,Voyager Point
453,2171,West Hoxton
454,2173,Holsworthy
455,2173,Wattle Grove
456,2174,Edmondson Park
457,2176,Abbotsbury
458,2176,Bossley Park
459,2176,Edensor Park
460,2176,Greenfield Park
461,2176,Prairiewood
462,2176,St Johns Park
463,2176,Wakeley
464,2177,Bonnyrigg
465,2177,Bonnyrigg Heights
466,2179,Austral
467,2190,Chullora
468,2190,Greenacre
469,2190,Mount Lewis
470,2191,Belfield
471,2192,Belmore
472,2193,Ashbury
473,2193,Canterbury
474,2193,Hurlstone Park
475,2194,Campsie
476,2195,Lakemba
477,2195,Wiley Park
478,2196,Punchbowl
479,2196,Roselands
480,2197,Bass Hill
481,2198,Georges Hall
482,2199,Yagoona
483,2199,Yagoona West
484,2200,Bankstown
485,2200,Bankstown North
486,2200,Bankstown Square
487,2200,Condell Park
488,2200,Manahan
489,2200,Mount Lewis
490,2203,Dulwich Hill
491,2204,Marrickville
492,2204,Marrickville Metro
493,2204,Marrickville South
494,2205,Arncliffe
495,2205,Turrella
496,2205,Wolli Creek
497,2206,Clemton Park
498,2206,Earlwood
499,2206,Undercliffe
500,2207,Bardwell Park
501,2207,Bardwell Valley
502,2207,Bexley
503,2207,Bexley North
504,2207,Bexley South
505,2208,Kingsgrove
506,2208,Kingsway West
507,2209,Beverly Hills
508,2209,Narwee
509,2210,Lugarno
510,2210,Peakhurst
511,2210,Peakhurst Heights
512,2210,Riverwood
513,2211,Padstow
514,2211,Padstow Heights
515,2212,Revesby
516,2212,Revesby Heights
517,2212,Revesby North
518,2213,East Hills
519,2213,Panania
520,2213,Picnic Point
521,2214,Milperra
522,2216,Banksia
523,2216,Brighton-Le-Sands
524,2216,Kyeemagh
525,2216,Rockdale
526,2217,Beverley Park
527,2217,Kogarah
528,2217,Kogarah Bay
529,2217,Monterey
530,2217,Ramsgate
531,2217,Ramsgate Beach
532,2218,Allawah
533,2218,Carlton
534,2219,Dolls Point
535,2219,Sandringham
536,2219,Sans Souci
537,2220,Hurstville
538,2220,Hurstville Grove
539,2220,Hurstville Westfield
540,2221,Blakehurst
541,2221,Carss Park
542,2221,Connells Point
543,2221,Kyle Bay
544,2221,South Hurstville
545,2222,Penshurst
546,2223,Mortdale
547,2223,Oatley
548,2224,Kangaroo Point
549,2224,Sylvania
550,2224,Sylvania Southgate
551,2224,Sylvania Waters
552,2225,Caravan Head
553,2225,Oyster Bay
554,2226,Bonnet Bay
555,2226,Como
556,2226,Jannali
557,2227,Gymea
558,2227,Gymea Bay
559,2228,Miranda
560,2228,Yowie Bay
561,2229,Caringbah
562,2229,Dolans Bay
563,2229,Lilli Pilli
564,2229,Port Hacking
565,2229,Taren Point
566,2229,Warumbul
567,2230,Bundeena
568,2230,Burraneer
569,2230,Cronulla
570,2230,Maianbar
571,2230,Woolooware
572,2231,Kurnell
573,2232,Audley
574,2232,Garie
575,2232,Grays Point
576,2232,Kareela
577,2232,Kirrawee
578,2232,Loftus
579,2232,Sutherland
580,2232,Woronora
581,2233,Engadine
582,2233,Heathcote
583,2233,Waterfall
584,2233,Woronora Heights
585,2233,Yarrawarrah
586,2234,Alfords Point
587,2234,Bangor
588,2234,Barden Ridge
589,2234,Illawong
590,2234,Lucas Heights
591,2234,Menai
592,2234,Menai Central
593,2250,Bucketty
594,2250,Calga
595,2250,Central Mangrove
596,2250,Donovans Forest
597,2250,East Gosford
598,2250,Erina
599,2250,Erina Fair
600,2250,Glenworth Valley
601,2250,Gosford
602,2250,Gosford West
603,2250,Greengrove
604,2250,Holgate
605,2250,Kariong
606,2250,Kulnura
607,2250,Lisarow
608,2250,Lower Mangrove
609,2250,Mangrove Creek
610,2250,Mangrove Mountain
611,2250,Matcham
612,2250,Mooney Mooney Creek
613,2250,Mount Elliot
614,2250,Mount White
615,2250,Narara
616,2250,Niagara Park
617,2250,North Gosford
618,2250,Peats Ridge
619,2250,Point Clare
620,2250,Point Frederick
621,2250,Somersby
622,2250,Springfield
623,2250,Tascott
624,2250,Ten Mile Hollow
625,2250,Upper Mangrove
626,2250,Wendoree Park
627,2250,Wyoming
628,2251,Avoca Beach
629,2251,Bensville
630,2251,Bouddi
631,2251,Central Coast
632,2251,Copacabana
633,2251,Davistown
634,2251,Green Point
635,2251,Kincumber
636,2251,Kincumber South
637,2251,Macmasters Beach
638,2251,Picketts Valley
639,2251,Saratoga
640,2251,Yattalunga
641,2256,Blackwall
642,2256,Horsfield Bay
643,2256,Koolewong
644,2256,Little Wobby
645,2256,Patonga
646,2256,Pearl Beach
647,2256,Phegans Bay
648,2256,Wondabyne
649,2256,Woy Woy
650,2256,Woy Woy Bay
651,2257,Booker Bay
652,2257,Box Head
653,2257,Daleys Point
654,2257,Empire Bay
655,2257,Ettalong Beach
656,2257,Hardys Bay
657,2257,Killcare
658,2257,Killcare Heights
659,2257,Pretty Beach
660,2257,St Huberts Island
661,2257,Umina Beach
662,2257,Wagstaffe
663,2258,Fountaindale
664,2258,Kangy Angy
665,2258,Ourimbah
666,2258,Palm Grove
667,2258,Palmdale
668,2259,Alison
669,2259,Cedar Brush Creek
670,2259,Chain Valley Bay
671,2259,Crangan Bay
672,2259,Dooralong
673,2259,Durren Durren
674,2259,Frazer Park
675,2259,Gwandalan
676,2259,Halloran
677,2259,Hamlyn Terrace
678,2259,Jilliby
679,2259,Kanwal
680,2259,Lake Munmorah
681,2259,Lemon Tree
682,2259,Little Jilliby
683,2259,Mannering Park
684,2259,Mardi
685,2259,Point Wolstoncroft
686,2259,Ravensdale
687,2259,Rocky Point
688,2259,South Tacoma
689,2259,Summerland Point
690,2259,Tacoma
691,2259,Tuggerah
692,2259,Tuggerawong
693,2259,Wadalba
694,2259,Wallarah
695,2259,Warnervale
696,2259,Watanobbi
697,2259,Woongarrah
698,2259,Wybung
699,2259,Wyee
700,2259,Wyee Point
701,2259,Wyong
702,2259,Wyong Creek
703,2259,Wyongah
704,2259,Yarramalong
705,2260,Erina Heights
706,2260,Forresters Beach
707,2260,North Avoca
708,2260,Terrigal
709,2260,Wamberal
710,2261,Bateau Bay
711,2261,Bay Village
712,2261,Berkeley Vale
713,2261,Blue Bay
714,2261,Chittaway Bay
715,2261,Chittaway Point
716,2261,Glenning Valley
717,2261,Killarney Vale
718,2261,Long Jetty
719,2261,Shelly Beach
720,2261,The Entrance
721,2261,The Entrance North
722,2261,Toowoon Bay
723,2261,Tumbi Umbi
724,2262,Blue Haven
725,2262,Budgewoi
726,2262,Buff Point
727,2262,Doyalson
728,2262,Halekulani
729,2262,San Remo
730,2263,Canton Beach
731,2263,Charmhaven
732,2263,Gorokan
733,2263,Lake Haven
734,2263,Norah Head
735,2263,Noraville
736,2263,Toukley
737,2264,Balcolyn
738,2264,Bonnells Bay
739,2264,Brightwaters
740,2264,Dora Creek
741,2264,Eraring
742,2264,Mandalong
743,2264,Mirrabooka
744,2264,Morisset
745,2264,Morisset Park
746,2264,Myuna Bay
747,2264,Silverwater
748,2264,Sunshine
749,2264,Windermere Park
750,2264,Yarrawonga Park
751,2265,Cooranbong
752,2265,Martinsville
753,2267,Wangi Wangi
754,2278,Barnsley
755,2278,Killingworth
756,2278,Wakefield
757,2280,Belmont
758,2280,Belmont North
759,2280,Belmont South
760,2280,Croudace Bay
761,2280,Floraville
762,2280,Jewells
763,2280,Marks Point
764,2280,Valentine
765,2281,Blacksmiths
766,2281,Cams Wharf
767,2281,Catherine Hill Bay
768,2281,Caves Beach
769,2281,Little Pelican
770,2281,Middle Camp
771,2281,Nords Wharf
772,2281,Pelican
773,2281,Swansea
774,2281,Swansea Heads
775,2282,Eleebana
776,2282,Lakelands
777,2282,Warners Bay
778,2283,Arcadia Vale
779,2283,Awaba
780,2283,Balmoral
781,2283,Blackalls Park
782,2283,Bolton Point
783,2283,Buttaba
784,2283,Carey Bay
785,2283,Coal Point
786,2283,Fassifern
787,2283,Fennell Bay
788,2283,Fishing Point
789,2283,Kilaben Bay
790,2283,Rathmines
791,2283,Ryhope
792,2283,Toronto
793,2284,Argenton
794,2284,Boolaroo
795,2284,Booragul
796,2284,Marmong Point
797,2284,Speers Point
798,2284,Teralba
799,2284,Woodrising
800,2285,Cameron Park
801,2285,Cardiff
802,2285,Cardiff Heights
803,2285,Cardiff South
804,2285,Edgeworth
805,2285,Glendale
806,2285,Macquarie Hills
807,2286,Holmesville
808,2286,Seahampton
809,2286,West Wallsend
810,2287,Birmingham Gardens
811,2287,Elermore Vale
812,2287,Fletcher
813,2287,Maryland
814,2287,Minmi
815,2287,Rankin Park
816,2287,Summer Hill
817,2287,Wallsend
818,2287,Wallsend South
819,2289,Adamstown
820,2289,Adamstown Heights
821,2289,Garden Suburb
822,2289,Highfields
823,2289,Kotara
824,2289,Kotara Fair
825,2289,Kotara South
826,2290,Bennetts Green
827,2290,Charlestown
828,2290,Dudley
829,2290,Gateshead
830,2290,Hillsborough
831,2290,Kahibah
832,2290,Mount Hutton
833,2290,Redhead
834,2290,Tingira Heights
835,2290,Whitebridge
836,2291,Merewether
837,2291,Merewether Heights
838,2291,The Junction
839,2292,Broadmeadow
840,2292,Hamilton North
841,2293,Maryville
842,2293,Wickham
843,2294,Carrington
844,2295,Fern Bay
845,2295,Stockton
846,2296,Islington
847,2297,Tighes Hill
848,2298,Georgetown
849,2298,Waratah
850,2298,Waratah West
851,2299,Jesmond
852,2299,Lambton
853,2299,North Lambton
854,2300,Bar Beach
855,2300,Cooks Hill
856,2300,Newcastle
857,2300,Newcastle East
858,2300,The Hill
859,2302,Newcastle West
860,2303,Hamilton
861,2303,Hamilton East
862,2303,Hamilton South
863,2304,Kooragang
864,2304,Mayfield
865,2304,Mayfield East
866,2304,Mayfield North
867,2304,Mayfield West
868,2304,Sandgate
869,2304,Warabrook
870,2305,Kotara East
871,2305,New Lambton
872,2305,New Lambton Heights
873,2306,Windale
874,2307,Shortland
875,2308,Callaghan
876,2308,Newcastle University
877,2311,Allynbrook
878,2311,Bingleburra
879,2311,Bonnington Park
880,2311,Carrabolla
881,2311,East Gresford
882,2311,Eccleston
883,2311,Gresford
884,2311,Halton
885,2311,Lewinsbrook
886,2311,Lostock
887,2311,Mount Rivers
888,2312,Nabiac
