id,code,title
202,2000,"Darling Harbour"
203,2000,"Dawes Point"
204,2000,"Haymarket"
205,2000,"Millers Point"
206,2000,"Parliament House"
15350,2000,"Queen Victoria Building"
207,2000,"Sydney"
208,2000,"Sydney South"
209,2000,"The Rocks"
210,2006,"The University Of Sydney"
211,2007,"Broadway"
212,2007,"Ultimo"
213,2008,"Chippendale"
214,2008,"Darlington"
215,2008,"Golden Grove"
216,2009,"Darling Island"
217,2009,"Pyrmont"
218,2010,"Darlinghurst"
219,2010,"Surry Hills"
220,2010,"Taylor Square"
221,2011,"Elizabeth Bay"
222,2011,"Hmas Kuttabul"
223,2011,"Kings Cross"
224,2011,"Potts Point"
225,2011,"Rushcutters Bay"
226,2011,"Woolloomooloo"
15337,2013,"Strawberry Hills"
227,2015,"Alexandria"
228,2015,"Beaconsfield"
229,2015,"Eveleigh"
230,2016,"Redfern"
231,2017,"Waterloo"
232,2017,"Zetland"
233,2018,"Eastlakes"
234,2018,"Rosebery"
235,2019,"Banksmeadow"
236,2019,"Botany"
237,2020,"Mascot"
238,2021,"Centennial Park"
239,2021,"Moore Park"
240,2021,"Paddington"
241,2022,"Bondi Junction"
242,2022,"Bondi Junction Plaza"
243,2022,"Queens Park"
244,2023,"Bellevue Hill"
245,2024,"Bronte"
246,2024,"Charing Cross"
247,2024,"Waverley"
248,2025,"Woollahra"
249,2026,"Ben Buckler"
250,2026,"Bondi"
251,2026,"Bondi Beach"
252,2026,"North Bondi"
253,2026,"Tamarama"
254,2027,"Darling Point"
255,2027,"Edgecliff"
256,2027,"Hmas Rushcutters"
257,2027,"Point Piper"
258,2028,"Double Bay"
259,2029,"Rose Bay"
260,2030,"Diamond Bay"
261,2030,"Dover Heights"
262,2030,"Hmas Watson"
263,2030,"Rose Bay North"
264,2030,"Vaucluse"
265,2030,"Watsons Bay"
266,2031,"Clovelly"
267,2031,"Clovelly West"
268,2031,"Randwick"
269,2031,"St Pauls"
270,2032,"Daceyville"
271,2032,"Kingsford"
272,2033,"Kensington"
273,2034,"Coogee"
274,2034,"South Coogee"
275,2035,"Maroubra"
276,2035,"Maroubra South"
277,2035,"Pagewood"
278,2036,"Chifley"
279,2036,"Eastgardens"
280,2036,"Hillsdale"
281,2036,"La Perouse"
282,2036,"Little Bay"
283,2036,"Malabar"
284,2036,"Matraville"
285,2036,"Phillip Bay"
286,2036,"Port Botany"
287,2037,"Forest Lodge"
288,2037,"Glebe"
289,2038,"Annandale"
290,2039,"Rozelle"
291,2040,"Leichhardt"
292,2040,"Lilyfield"
293,2041,"Balmain"
294,2041,"Balmain East"
295,2041,"Birchgrove"
296,2042,"Enmore"
297,2042,"Newtown"
298,2043,"Erskineville"
299,2044,"St Peters"
300,2044,"Sydenham"
301,2044,"Tempe"
302,2045,"Haberfield"
303,2046,"Abbotsford"
304,2046,"Canada Bay"
305,2046,"Chiswick"
306,2046,"Five Dock"
307,2046,"Rodd Point"
308,2046,"Russell Lea"
309,2046,"Wareemba"
310,2047,"Drummoyne"
311,2048,"Stanmore"
312,2048,"Westgate"
313,2049,"Lewisham"
314,2049,"Petersham"
315,2049,"Petersham North"
316,2050,"Camperdown"
317,2050,"Missenden Road"
318,2060,"Hmas Platypus"
319,2060,"Hmas Waterhen"
320,2060,"Lavender Bay"
321,2060,"Mcmahons Point"
322,2060,"North Sydney"
